" Packed",Prepped,"Type ",Name,"Reminders ",Link/Attachment
No,Yes,System系統核心目標,快速查到物品狀態,"可借/已借/維修 一眼睇到,",
No,Yes,System系統核心目標,"Borrow record ","清楚記錄借用人+到期日,清楚知道「邊個借咗」「幾時到期」,",
No,Yes,System系統核心目標,"減少漏記/重覆/唔一致,統一資料格式，避免 Excel 亂","減少漏記/重覆/唔一致,統一資料格式，避免 Excel 亂",
No,Yes,System系統核心目標,Export,已借/逾期/庫存清單,
No,Yes,System系統核心目標,"Travel insurance ",Print or save digital copy of policy,
No,No,System系統核心目標,"Driver’s license (if required) ",Ensure it's valid; check if IDP is needed,
No,No,Data 物品管理方式,數量管理,Quantity，例如 10 條線,
No,No,Data 物品管理方式,兩樣都要,(部分逐件、部分數量),
No,No,Loan 借用模式,"iPhone ",Fully charged; download travel apps,
No,No,Loan 借用模式,Power bank,"Fully charged ",
No,No,Loan 借用模式,"AirPods ","Fully charged ",
No,Yes,Loan 借用模式,"Macbook Air (if required) ",Fully charged; backup important files,
Yes,Yes,Loan 借用模式,"Macbook Air charger ",Pack in laptop sleeve or carry-on,
No,Yes,Loan 借用模式,"Universal plug (for international travel) ",Check country plug type,
Yes,Yes,Loan 借用模式,"iPhone charger ",Pack extra cable (in case of damage),
No,Yes,Loan 借用模式,"Power bank charger ",Pack in electronics pouch,
Yes,Yes,Loan 借用模式,"SIM Card (for international travel) ","Make arrangements for SIM Card ",
No,No,Toiletries,"Toothbrush - electronic ",Check battery or charge before packing,
No,No,Toiletries,"Toothpaste - travel size ",Ensure <100ml for carry-on,
No,No,Toiletries,"Body wash - travel size? ",Use refillable travel bottle,
No,No,Toiletries,"Shampoo - travel size ",Use refillable travel bottle,
No,No,Toiletries,"Conditioner - travel packs ",Pack only enough for trip duration,
No,No,Toiletries,"Hair mask/cream/oil ",Pack in leak-proof bag,
No,No,Toiletries,Sanitary pads,Pack enough for full trip,
No,No,Toiletries,"Hair styling tools ",Check voltage compatibility (if overseas,
No,No,Toiletries,"Small packet tissues ",Pack multiple small packs,
No,No,Toiletries,"Wet wipes ",Seal properly to avoid drying,
No,No,Toiletries,"Hand sanitizer ",Ensure <100ml for carry-on,
No,No,Toiletries,"Tweezers ",Keep in checked luggage if sharp,
No,No,Toiletries,"Spectacles + cleaning cloth + cleaning spray ",Pack extra microfiber cloth,
No,No,Toiletries,"Contact lenses (extra pair) ",Pack in lens case for easy access,
No,No,Toiletries,"Contact lens case ",Clean and dry before packing,
No,No,Toiletries,"Contact lens solution ",Ensure <100ml for carry-on (or pack in checked bag),
No,No,Toiletries,"Extra plastic bags ",For dirty clothes or wet items,
No,No,Others,"Pen + notepad ",Keep one pen in carry-on for forms,
No,No,Others,"Snacks ","Pack non-perishable snacks (nuts, bars)",
No,No,Others,"House keys ","Keep in a secure, easily accessible pocket",
No,No,Others,"Anti-Histamine ",Pack in a pillbox or small container,
No,No,Others,"Panadol ",Bring a few tablets in a travel pill case,
No,No,Others,"Supplements ",Prepare daily supplement packs,
No,No,Others,"Insect repellent ",Check if allowed in cabin (liquid <100ml),
No,No,Others,"Water bottle ","Carry empty for airport security, refill later",
No,No,Skincare,"Face cleanser (KRAVE Matcha Hemp cleanser) ",Transfer to travel-size bottle (if needed),
No,No,Skincare,"SPF/Sunscreen ","Pack one for face & body, ensure <100ml for carry-on",
No,No,Skincare,"Toner (SOMEBYMI) - travel size ",Ensure travel-size bottle is sealed,
No,No,Skincare,"Face mist (travel size) - travel size ",Keep in ziplock to avoid leaks,
No,No,Skincare,"Cotton pads ",Pack in small container or ziplock,
No,No,Skincare,Serums - travel size,Ensure bottles are under 100ml,
No,No,Skincare,"CORSX Moisturizer - travel size ",Ensure lid is tightly closed,
No,No,Skincare,Make up remover,Use travel-size micellar water or wipes,
No,No,Skincare,Lip care,Bring 2 (one in handbag),
No,No,Skincare,"Sheet masks ",Pack in flat pouch to save space,
No,No,Cosmetics,"Small mirror ",Pack in a protective case,
No,No,Cosmetics,"Lip stick ",Bring 1–2 shades for versatility,
No,No,Cosmetics,"Eyebrow pencil ",Sharpen before packing or bring a sharpener,
No,No,Cosmetics,"Eyebrow brush ",Clean before trip,
No,No,Cosmetics,"Eyeliner ",Ensure it's not dried out,
No,No,Cosmetics,"Mascara ",Check expiry date (usually 3-6 months),
No,No,Cosmetics,"Foundation ",Use travel-size container or cushion compact,
No,No,Accessories,"Hair ties ",Pack a few extra (in case some get lost),
No,No,Accessories,Scrunchies,Pack colors that match outfits,
No,No,Accessories,"Earrings ",Use a small jewelry pouch or organizer,
No,No,Accessories,"Sunglasses ",Pack in a hard case to avoid scratches,
No,No,Accessories,"Basic jewellery ",Carry minimal pieces to avoid loss,
No,No,Accessories,Claw clips,Place in a small ziplock to prevent damage,
No,No,Accessories,"Comb ",Clean before packing,
No,No,Clothes,"Socks - 1 extra pair for airport travelling ",Keep extra pair in carry-on,
No,No,Clothes,"Undergarments ",Include 1–2 extra sets,
No,No,Clothes,"Pajamas ","Use light, quick-dry materials",
No,No,Clothes,"Swimsuits (for beach)  ",Pack in waterproof pouch,
No,No,Clothes,"Tops ",Roll clothes to save space,
No,No,Clothes,Shorts,Choose versatile pairs,
No,No,Clothes,"Sneakers ","Clean before packing, wear on flight if bulky",
No,No,Clothes,"Slippers ",Pack light foldable ones,
No,No,Data 物品管理方式,逐件管理,Unique ID / Serial / Asset Tag,
No,No,Data 物品管理方式,,,
